Indicators  ,variable,level,Year,Croatia  ,Denmark,Finland,France,Germany,Hungary,Netherlands,Norway,Portugal,Spain,Sweden,UK
Birth rate,Crude birth rate (per 1000 person),,2014,9.4,10.1,10.5,12.4,8.8,9.5,10.4,11.5,7.9,9.2,11.9,12
Birth rate,Crude birth rate (per 1000 person),,2023,8.3,9.7,7.8,9.9,8.3,9.1,9.2,9.4,8.1,6.6,9.5,10
Maternal age at birth,Mean age of woman at birth of first child,,2014,28.1,29.2,28.6,28.3,29.4,27.7,29.5,28.7,29.2,30.6,29.2,28.6
Maternal age at birth,Mean age of woman at birth of first child,,2023,29.3,30.1,30,29.1,29.8,28.8,30.4,30.1,30.2,31.5,30,30.9
Pregnancy outcome rates,Number of live births per year ,,2014,39566,56870,57232,819328,714927,93281,175181,58976,82367,426076,114907,775908
Pregnancy outcome rates,Number of live births per year ,,2023,32170,57469,43383,678333,692989,87671,164487,51983,85699,319830,100051,591.072
Pregnancy outcome rates,Foetal mortality rate: foetal deaths at or after 24-weeks threshold (per 1000 total births),,2015,4.7,3.6,3.1,8.4,3.8,5.1,3,4,2.9,3.1,3.8,4.4
Pregnancy outcome rates,Foetal mortality rate: foetal deaths at or after 24-weeks threshold (per 1000 total births),,2019,4.5,2.9,2.7,8.4,4.1,4.7,2.3,3.5,3.3,3.1,3.1,3.2
Gestational duration distribution,"Number of live births at each completed gestational age bin (<32, 32-36, 37-38, 39-41, and ≥42 weeks)",<32,2015,328,43,7.701,9.635,1.296,1.834,528,886,1.236,1.068,3.583,8.327
Gestational duration distribution,"Number of live births at each completed gestational age bin (<32, 32-36, 37-38, 39-41, and ≥42 weeks)",32-36,2015,2.101,2.764,46.033,51.907,6.687,9.657,3.14,5.99,6.91,5.536,23.345,44.619
Gestational duration distribution,"Number of live births at each completed gestational age bin (<32, 32-36, 37-38, 39-41, and ≥42 weeks)",37-38,2015,8.173,10.002,164.04,184.069,24.306,38.904,10.883,23.136,20.686,21.208,82.306,143.892
Gestational duration distribution,"Number of live births at each completed gestational age bin (<32, 32-36, 37-38, 39-41, and ≥42 weeks)",39-41,2015,25.91,40.112,533.42,475.741,59.202,113.305,42.672,55.464,76.021,80.218,241.253,477.667
Gestational duration distribution,"Number of live births at each completed gestational age bin (<32, 32-36, 37-38, 39-41, and ≥42 weeks)",≥42,2015,747,2.207,6.339,3.874,144,2.111,2.29,115,3.367,8.433,5.71,18.403
Gestational duration distribution,"Number of live births at each completed gestational age bin (<32, 32-36, 37-38, 39-41, and ≥42 weeks)",<32,2019,317,329,7.525,9.598,1.148,1.739,493,896,556,963,3.374,7.676
Gestational duration distribution,"Number of live births at each completed gestational age bin (<32, 32-36, 37-38, 39-41, and ≥42 weeks)",32-36,2019,2053,2.094,41.266,52.243,6.264,8.919,2.871,6.082,2.994,5.332,19.48,41.839
Gestational duration distribution,"Number of live births at each completed gestational age bin (<32, 32-36, 37-38, 39-41, and ≥42 weeks)",37-38,2019,7676,8.434,153.025,193.314,24.332,38.119,10.525,22.751,11.107,22.096,72.411,153.224
Gestational duration distribution,"Number of live births at each completed gestational age bin (<32, 32-36, 37-38, 39-41, and ≥42 weeks)",39-41,2019,25.278,33.696,503.141,501.968,57.215,112.474,38.757,57.045,44.512,80.384,222.987,422.193
Gestational duration distribution,"Number of live births at each completed gestational age bin (<32, 32-36, 37-38, 39-41, and ≥42 weeks)",≥42,2019,1.147,1.113,5.945,3.917,123,2.25,2.395,106,1.404,6.926,3.515,12.696
Mode of delivery,Mode of delivery rate (% vaginal and c-section deliveries),Vaginal,2015,78.4,83.5,79.3,67.7,61.2,82.7,83.4,74.8,78.5,82.1,73.4,70.5
Mode of delivery,Mode of delivery rate (% vaginal and c-section deliveries),C-section,2015,21.6,16.5,20.7,32.3,38.8,17.3,16.6,16.1,21.5,17.9,26.7,29.5
Mode of delivery,Mode of delivery rate (% vaginal and c-section deliveries),Vaginal,2019,73.8,82.1,79.1,68.2,58.5,82.7,83.6,72.7,79.7,81.8,74.3,67.8
Mode of delivery,Mode of delivery rate (% vaginal and c-section deliveries),C-section,2019,26.2,17.9,20.9,31.8,41.5,17.4,16.4,16,20.3,18.2,25.7,32.2
