cdm_name,analysis_id,stratum_1,stratum_2,stratum_3,stratum_4,stratum_5,count_value,min_value,max_value,avg_value,stdev_value,median_value,p10_value,p25_value,p75_value,p90_value
CDW Bordeaux,100,NA,NA,NA,NA,NA,107102,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDW Bordeaux,101,NA,NA,NA,NA,NA,78871,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDW Bordeaux,200,10-19,NA,NA,NA,NA,5735,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDW Bordeaux,200,20-29,NA,NA,NA,NA,45581,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDW Bordeaux,200,30-39,NA,NA,NA,NA,50338,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDW Bordeaux,200,40-49,NA,NA,NA,NA,5389,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDW Bordeaux,200,50-59,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDW Bordeaux,201,NA,NA,NA,NA,NA,107102,14.1984941820671,55.1184120465435,29.6310130378954,NA,29.8370978781656,NA,25.3333333333333,33.8945927446954,NA
CDW Bordeaux,300,2010,NA,NA,NA,NA,6485,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDW Bordeaux,300,2011,NA,NA,NA,NA,6438,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDW Bordeaux,300,2012,NA,NA,NA,NA,6559,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDW Bordeaux,300,2013,NA,NA,NA,NA,6951,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDW Bordeaux,300,2014,NA,NA,NA,NA,6979,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDW Bordeaux,300,2015,NA,NA,NA,NA,7110,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDW Bordeaux,300,2016,NA,NA,NA,NA,7167,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDW Bordeaux,300,2017,NA,NA,NA,NA,7276,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDW Bordeaux,300,2018,NA,NA,NA,NA,7532,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDW Bordeaux,300,2019,NA,NA,NA,NA,7336,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDW Bordeaux,300,2020,NA,NA,NA,NA,7313,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDW Bordeaux,300,2021,NA,NA,NA,NA,7528,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDW Bordeaux,300,2022,NA,NA,NA,NA,7093,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDW Bordeaux,300,2023,NA,NA,NA,NA,7181,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDW Bordeaux,300,2024,NA,NA,NA,NA,5159,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDW Bordeaux,300,2025,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDW Bordeaux,400,NA,NA,NA,NA,NA,NA,6.428571428571429,79.14285714285714,36.02597657239957,9.984022272382214,44,NA,24,44,NA
CDW Bordeaux,500,AB,NA,NA,NA,NA,24638,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDW Bordeaux,500,DELIV,NA,NA,NA,NA,75359,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDW Bordeaux,500,ECT,NA,NA,NA,NA,1801,NA,NA,NA,NA,NA,NA,NA,NA,NA
